state,date,abs,rate
Johor,2000/1/1,67183,24.3
Johor,2001/1/1,61432,21.7
Johor,2002/1/1,59699,20.6
Johor,2003/1/1,58230,19.7
Johor,2004/1/1,57339,19
Johor,2005/1/1,56524,18.4
Johor,2006/1/1,56737,18.1
Johor,2007/1/1,57780,18.1
Johor,2008/1/1,57838,17.8
Johor,2009/1/1,57849,17.5
Johor,2010/1/1,56064,16.7
Johor,2011/1/1,58167,17.1
Johor,2012/1/1,60444,17.5
Johor,2013/1/1,57402,16.5
Johor,2014/1/1,60443,17
Johor,2015/1/1,60543,16.8
Johor,2016/1/1,59561,16.3
Johor,2017/1/1,61085,16.5
Johor,2018/1/1,61084,16.3
Johor,2019/1/1,60261,16
Johor,2020/1/1,56908,14.2
Johor,2021/1/1,49990,12.4
Johor,2022/1/1,48254,12
Johor,2023/1/1,56156,13.7
Kedah,2000/1/1,41014,24.5
Kedah,2001/1/1,38073,22.3
Kedah,2002/1/1,36604,21.1
Kedah,2003/1/1,35407,20.1
Kedah,2004/1/1,35059,19.6
Kedah,2005/1/1,34254,18.8
Kedah,2006/1/1,33864,18.3
Kedah,2007/1/1,33963,18.1
Kedah,2008/1/1,35415,18.6
Kedah,2009/1/1,36019,18.7
Kedah,2010/1/1,35128,18
Kedah,2011/1/1,35937,18.2
Kedah,2012/1/1,36390,18.2
Kedah,2013/1/1,35032,17.2
Kedah,2014/1/1,36505,17.7
Kedah,2015/1/1,36784,17.5
Kedah,2016/1/1,35967,17
Kedah,2017/1/1,36693,17.1
Kedah,2018/1/1,35643,16.5
Kedah,2019/1/1,34511,15.9
Kedah,2020/1/1,33828,15.9
Kedah,2021/1/1,33040,15.4
Kedah,2022/1/1,30796,14.2
Kedah,2023/1/1,33811,15.4
Kelantan,2000/1/1,40404,29.7
Kelantan,2001/1/1,38186,27.5
Kelantan,2002/1/1,37297,26.3
Kelantan,2003/1/1,35686,24.8
Kelantan,2004/1/1,35113,24
Kelantan,2005/1/1,34088,22.9
Kelantan,2006/1/1,33659,22.3
Kelantan,2007/1/1,33800,22.1
Kelantan,2008/1/1,34842,22.5
Kelantan,2009/1/1,35715,22.7
Kelantan,2010/1/1,36009,22.6
Kelantan,2011/1/1,37679,23.3
Kelantan,2012/1/1,37025,22.4
Kelantan,2013/1/1,36413,21.6
Kelantan,2014/1/1,39279,22.8
Kelantan,2015/1/1,39108,22.2
Kelantan,2016/1/1,38455,21.4
Kelantan,2017/1/1,39122,21.4
Kelantan,2018/1/1,38360,20.6
Kelantan,2019/1/1,36858,19.6
Kelantan,2020/1/1,36275,20.2
Kelantan,2021/1/1,34764,19.2
Kelantan,2022/1/1,33808,18.5
Kelantan,2023/1/1,35705,19.2
Melaka,2000/1/1,15304,23.7
