state_WP,count,rate,type
Johor,56156,13.7,birth
Kedah,33811,15.4,birth
Kelantan,35705,19.2,birth
Melaka,13583,13.2,birth
Negeri Sembilan,16570,13.5,birth
Pahang,24162,14.7,birth
Perak,30759,12.1,birth
Perlis,3878,13.2,birth
Pulau Pinang,19579,11,birth
Sabah,46412,12.9,birth
Sarawak,33920,13.6,birth
Selangor,90535,12.6,birth
Terengganu,26127,21.6,birth
W.P. Kuala Lumpur,21442,10.7,birth
W.P. Labuan,1409,14.2,birth
W.P. Putrajaya,1713,14.4,birth
Johor,24705,6,death
Kedah,16643,7.6,death
Kelantan,11839,6.4,death
Melaka,6190,6,death
Negeri Sembilan,8232,6.7,death
Pahang,10508,6.4,death
Perak,20839,8.2,death
Perlis,2171,7.4,death
Pulau Pinang,12304,6.9,death
Sabah,16610,4.6,death
Sarawak,16158,6.5,death
Selangor,32646,4.5,death
Terengganu,7857,6.5,death
W.P. Kuala Lumpur,9646,4.8,death
W.P. Labuan,333,3.4,death
W.P. Putrajaya,284,2.4,death
