state,date,Households,Living_quarters,Area
Johor,2024/1/1,1130600,1405200,19210
Kedah,2024/1/1,565900,672200,9500
Kelantan,2024/1/1,390500,473900,15099
Melaka,2024/1/1,303600,360100,1664
Negeri Sembilan,2024/1/1,353200,429500,6686
Pahang,2024/1/1,442400,504600,36137
Perak,2024/1/1,718500,873100,21035
Perlis,2024/1/1,94900,78600,821
Pulau Pinang,2024/1/1,545100,641900,1048
Sabah,2024/1/1,806300,854000,73631
Sarawak,2024/1/1,656300,865800,124450
Selangor,2024/1/1,2073199,2357400,8104
Terengganu,2024/1/1,315500,349700,13035
