State,Year,GDP
Selangor,2015,68753
Selangor,2016,67913
Selangor,2017,70275
Selangor,2018,80003
Selangor,2019,83335
Selangor,2020,77810
Selangor,2021,83087
Selangor,2022,95827
Selangor,2023,98744
Selangor,2024,105960
Kuala Lumpur and  Putrajaya,2015,46257
Kuala Lumpur and  Putrajaya,2016,46178
Kuala Lumpur and  Putrajaya,2017,47947
Kuala Lumpur and  Putrajaya,2018,54544
Kuala Lumpur and  Putrajaya,2019,56471
Kuala Lumpur and  Putrajaya,2020,51773
Kuala Lumpur and  Putrajaya,2021,53069
Kuala Lumpur and  Putrajaya,2022,59711
Kuala Lumpur and  Putrajaya,2023,60859
Kuala Lumpur and  Putrajaya,2024,65138
Johor,2015,28133
Johor,2016,28116
Johor,2017,28735
Johor,2018,32323
Johor,2019,32421
Johor,2020,30493
Johor,2021,31715
Johor,2022,47537
Johor,2023,31401
Johor,2024,40914
